task_id_list	courier_id	total_score	willingness
T0007,T0012	C013	52.507	0.1914
T0001,T0033	C004	47.356	0.7008
T0015,T0036	C011	18.506	0.0482
T0005,T0030	C000	37.615	0.0339
T0009,T0015	C013	64.958	0.3135
T0000,T0020	C028	28.44	0.2715
T0003,T0005	C001	36.413	0.2443
T0007	C006	15.774	0.2172
T0007,T0019	C030	45.427	0.0915
T0031,T0035	C037	74.535	0.3577
T0002,T0006	C033	27.807	0.01
T0003	C015	44.406	0.2107
T0009,T0026	C017	74.202	0.2162
T0027,T0038	C037	64.16	0.4767
T0005,T0015	C004	58.645	0.2389
T0007,T0036	C016	37.888	0.1535
T0002,T0004	C005	64.604	0.2665
T0000,T0033	C009	34.34	0.1591
T0001,T0008	C026	57.447	0.0699
T0005,T0026	C025	46.457	0.7986
T0031,T0035	C009	32.534	0.1228
T0004,T0006	C026	31.354	0.2257
T0000,T0010	C006	49.211	0.6117
T0010,T0037	C006	60.135	0.2288
T0032,T0035	C025	75.754	0.2085
T0026,T0038	C002	64.622	0.3616
T0020,T0037	C033	56.253	0.2035
T0013,T0039	C005	76.457	0.3508
T0032	C016	13.464	0.2836
T0011,T0021	C004	27.378	0.0598
T0005,T0014	C028	76.716	0.1788
T0020,T0036	C001	63.086	0.406
T0015,T0026	C025	63.045	0.3765
T0024,T0034	C027	52.627	0.7965
T0030,T0033	C010	32.478	0.4445
T0005,T0015	C003	20.617	0.2424
T0008,T0013	C025	50.569	0.359
T0011,T0015	C013	72.516	0.1332
T0022,T0023	C030	88.785	0.2131
T0024,T0038	C004	26.578	0.1592
T0037	C031	30.365	0.8649
T0026,T0027	C010	60.822	0.1283
T0003,T0017	C033	47.214	0.1155
T0005,T0016	C024	57.081	0.0855
T0024,T0034	C025	28.836	0.0944
T0009,T0034	C016	33.615	0.2849
T0019,T0026	C004	29.998	0.1554
T0008,T0027	C038	39.41	0.4677
T0006,T0022	C030	61.803	0.2901
T0035,T0039	C003	67.262	0.0887
T0013,T0037	C028	52.263	0.7909
T0025,T0033	C014	88.732	0.1955
T0011,T0012	C003	93.833	0.5721
T0004,T0028	C000	80.495	0.1437
T0030,T0036	C019	55.772	0.2999
T0036,T0038	C028	68.585	0.4266
T0018,T0032	C003	53.971	0.2118
T0006,T0013	C037	52.634	0.2062
T0003,T0033	C000	82.784	0.0166
T0019,T0039	C029	51.2	0.1519
T0012,T0036	C002	34.957	0.2367
T0012,T0029	C029	53.261	0.2121
T0006,T0023	C012	84.214	0.2687
T0002,T0007	C005	52.804	0.2448
T0015,T0032	C014	58.967	0.1199
T0021,T0028	C022	70.431	0.3883
T0006,T0027	C027	100.0	0.4172
T0015,T0022	C037	70.055	0.0878
T0024,T0029	C012	31.697	0.0385
T0025,T0038	C031	48.059	0.1072
T0007,T0014	C002	43.089	0.1216
T0010,T0021	C026	51.4	0.4057
T0006,T0009	C020	63.279	0.0713
T0004,T0039	C037	29.135	0.0587
T0000,T0021	C017	65.938	0.0892
T0032	C027	39.505	0.221
T0019,T0037	C010	67.241	0.2085
T0013,T0023	C035	43.187	0.7212
T0011,T0027	C037	66.191	0.5005
T0020,T0039	C012	42.379	0.0728
T0012,T0034	C006	36.541	0.01
T0000,T0020	C037	52.684	0.4857
T0031,T0039	C008	63.384	0.2061
T0011,T0019	C030	54.121	0.2724
T0006	C009	42.291	0.3366
T0008,T0015	C024	77.746	0.081
T0025,T0038	C020	77.649	0.2155
T0008,T0032	C031	92.113	0.8416
T0021,T0029	C022	83.776	0.4056
T0003,T0037	C009	43.855	0.6706
T0016,T0017	C017	76.733	0.1113
T0012,T0036	C019	72.572	0.3148
T0012,T0026	C018	97.916	0.1317
T0020,T0021	C026	67.164	0.5174
T0011,T0017	C006	100.0	0.01
T0015,T0018	C024	63.086	0.2266
T0016,T0025	C001	88.638	0.2323
T0033	C002	29.308	0.2607
T0004,T0005	C013	84.897	0.1253
T0008,T0018	C005	54.786	0.6635
T0004,T0030	C035	44.305	0.224
T0024,T0036	C017	47.26	0.8227
T0025,T0036	C007	54.45	0.1438
T0011,T0028	C003	80.56	0.29
T0000,T0023	C009	52.971	0.7344
T0018,T0038	C025	26.923	0.0939
T0012,T0037	C020	57.555	0.4004
T0025,T0029	C005	64.793	0.2848
T0026,T0034	C029	88.226	0.3216
T0021,T0039	C016	83.207	0.5213
T0032,T0035	C024	65.801	0.1195
T0004	C035	18.618	0.325
T0008,T0024	C029	82.636	0.0709
T0002,T0015	C025	50.395	0.3128
T0017,T0027	C026	57.89	0.479
T0000,T0031	C016	41.57	0.3772
T0001,T0029	C020	89.805	0.0166
T0002,T0011	C026	57.862	0.4805
T0020,T0025	C033	59.253	0.3002
T0022	C035	27.322	0.3576
T0004,T0031	C038	47.363	0.0826
T0020	C039	46.057	0.1558
T0025,T0026	C038	65.367	0.1719
T0010,T0024	C021	85.597	0.1239
T0003,T0028	C037	78.635	0.1323
T0005,T0014	C030	46.284	0.0792
T0024,T0034	C012	19.641	0.2466
T0022	C034	15.241	0.6001
T0035,T0038	C028	47.968	0.5671
T0015	C000	41.492	0.7999
T0012,T0021	C018	56.102	0.0684
T0022,T0035	C018	83.033	0.4764
T0011,T0012	C018	60.18	0.2472
T0010,T0038	C006	79.967	0.1558
T0008,T0036	C005	74.566	0.5501
T0023,T0029	C016	67.408	0.0802
T0031,T0032	C018	81.964	0.3655
T0004,T0036	C002	47.042	0.2429
T0011,T0037	C036	58.722	0.1581
T0000,T0020	C033	32.429	0.5434
T0017,T0034	C012	57.545	0.1147
T0005,T0012	C009	46.304	0.4723
T0003,T0010	C006	63.354	0.2263
T0006,T0030	C006	54.168	0.395
T0014	C001	40.915	0.6693
T0021,T0031	C028	96.588	0.2511
T0000,T0016	C029	75.065	0.6994
T0005,T0025	C034	74.14	0.5316
T0010,T0016	C028	70.114	0.01
T0024,T0038	C024	38.159	0.83
T0010,T0024	C036	68.618	0.1198
T0018,T0022	C017	38.351	0.1102
T0008,T0032	C012	65.19	0.3359
T0012,T0023	C023	57.977	0.1175
T0028,T0036	C008	58.432	0.2155
T0006,T0023	C038	67.143	0.6213
T0022,T0024	C038	32.212	0.2156
T0023,T0036	C018	76.563	0.0395
T0030,T0037	C030	51.39	0.1004
T0015,T0031	C007	37.514	0.1595
T0003,T0037	C028	45.47	0.5332
T0019,T0024	C028	67.89	0.2716
T0011,T0025	C027	61.325	0.5728
T0009,T0026	C010	34.096	0.2741
T0006,T0027	C014	54.028	0.3819
T0015,T0024	C008	74.993	0.3252
T0008,T0022	C018	63.425	0.3608
T0002,T0025	C036	50.013	0.0766
T0006,T0030	C011	75.433	0.2714
T0011,T0022	C024	51.614	0.0127
T0027,T0032	C018	62.319	0.467
T0034,T0039	C028	30.006	0.5875
T0000,T0016	C018	70.639	0.2627
T0025	C011	27.971	0.2707
T0007,T0034	C038	42.04	0.1263
T0027,T0038	C014	57.548	0.1413
T0015	C023	21.802	0.358
T0012,T0033	C010	21.924	0.53
T0007,T0036	C030	66.899	0.1548
T0014,T0028	C002	69.448	0.15
T0002,T0036	C013	43.526	0.5284
T0031,T0033	C030	58.835	0.4993
T0002,T0013	C020	82.662	0.2091
T0012,T0029	C024	76.842	0.5174
T0001,T0008	C022	39.671	0.111
T0009,T0020	C018	59.865	0.4436
T0005,T0007	C005	54.633	0.1274
T0024,T0031	C005	23.155	0.2267
T0019,T0036	C033	84.012	0.257
T0011,T0023	C027	47.172	0.3252
T0030,T0032	C032	38.092	0.0194
T0031,T0035	C006	71.9	0.0539
T0001,T0037	C020	69.923	0.1596
T0011,T0026	C020	33.67	0.7241
T0015,T0024	C015	78.71	0.3249
T0015,T0032	C034	76.808	0.2425
T0016,T0034	C028	51.389	0.2592
T0013,T0027	C009	70.581	0.1216
T0003,T0005	C008	61.891	0.3092
T0003	C000	46.871	0.1735
T0010,T0013	C021	63.501	0.074
T0010,T0018	C005	54.887	0.7813
T0019	C019	21.239	0.4572
T0019,T0032	C023	46.937	0.1362
T0019	C030	11.287	0.3962
T0005,T0014	C004	74.361	0.2926
T0004,T0037	C008	48.927	0.3147
T0020,T0028	C027	73.164	0.0694
T0003,T0024	C031	33.514	0.6155
T0005,T0017	C009	39.418	0.2223
T0031,T0036	C010	63.143	0.2546
T0005,T0008	C006	80.593	0.1085
T0016	C009	13.963	0.3458
T0007,T0017	C005	86.496	0.185
T0031,T0034	C012	42.494	0.1623
T0037	C039	26.203	0.7812
T0020,T0032	C004	28.72	0.4439
T0013,T0031	C035	56.975	0.7717
T0019,T0023	C002	69.607	0.4054
T0033,T0035	C020	45.587	0.5276
T0013,T0032	C016	41.241	0.1394
T0005,T0028	C016	55.838	0.1372
T0010,T0035	C009	79.105	0.1123
T0013	C023	19.629	0.3798
T0016,T0030	C015	55.996	0.1723
T0015,T0026	C004	33.888	0.1275
T0006,T0015	C034	70.359	0.2127
T0001,T0033	C006	58.722	0.5652
T0011,T0025	C032	47.944	0.093
T0000,T0016	C031	58.162	0.1137
T0015,T0021	C022	91.528	0.3449
T0019,T0032	C016	31.398	0.0778
T0000,T0008	C010	78.825	0.6606
T0011,T0017	C021	60.263	0.16
T0016,T0023	C020	71.372	0.5455
T0003,T0014	C016	100.0	0.325
T0006,T0015	C012	73.058	0.2278
T0019,T0034	C028	53.921	0.5787
T0020,T0023	C027	50.858	0.1498
T0008,T0018	C037	77.535	0.4188
T0028	C035	22.357	0.8874
T0022	C016	44.815	0.7463
T0001,T0016	C005	75.157	0.0981
T0028,T0034	C030	38.293	0.0151
T0003,T0013	C010	36.348	0.4227
T0032,T0036	C025	92.308	0.1244
T0010,T0031	C033	38.444	0.0608
T0010,T0025	C011	54.012	0.101
T0020	C033	12.448	0.7212
T0013,T0014	C020	57.874	0.1131
T0014,T0025	C021	44.507	0.01
T0018,T0034	C029	87.261	0.5659
T0002,T0019	C027	68.91	0.271
T0005,T0024	C002	38.009	0.136
T0012,T0028	C017	63.594	0.8158
T0006,T0009	C011	69.38	0.2812
T0003,T0020	C000	88.167	0.01
T0009,T0018	C021	66.956	0.2428
T0013,T0017	C023	64.807	0.2618
T0004,T0035	C021	63.58	0.1239
T0010,T0015	C005	48.884	0.5248
T0002	C037	18.64	0.7165
T0021,T0036	C016	44.926	0.2005
T0005,T0016	C036	55.559	0.0941
T0016,T0039	C018	72.719	0.0969
T0010,T0021	C009	81.497	0.3413
T0022,T0039	C033	49.722	0.0822
T0000,T0023	C018	100.0	0.0753
T0025,T0030	C008	63.946	0.1548
T0012,T0034	C004	46.927	0.1201
T0012,T0034	C003	73.544	0.3596
T0015,T0029	C004	67.403	0.4293
T0010,T0016	C025	66.345	0.3245
T0006,T0029	C017	75.545	0.1103
T0020,T0024	C006	39.017	0.7462
T0006,T0011	C012	92.528	0.0587
T0010,T0013	C013	73.448	0.2047
T0011,T0023	C006	64.249	0.0503
T0002,T0010	C010	62.836	0.3164
T0008,T0035	C037	67.915	0.7176
T0008,T0035	C032	37.338	0.2639
T0016,T0035	C025	61.322	0.1438
T0009,T0027	C037	59.455	0.3799
T0024,T0032	C003	100.0	0.6495
T0004,T0008	C029	63.112	0.1003
T0002,T0020	C025	74.308	0.2565
T0012,T0027	C026	44.017	0.5381
T0000,T0006	C035	61.136	0.6662
T0032,T0036	C009	67.28	0.4766
T0010,T0032	C004	57.884	0.114
T0018,T0026	C023	54.695	0.4863
T0007,T0025	C003	85.9	0.7948
T0000,T0013	C022	48.587	0.0875
T0018,T0033	C016	77.764	0.5474
T0009,T0027	C033	75.404	0.1312
T0003,T0025	C032	71.929	0.0181
T0000,T0017	C004	49.553	0.4906
T0017,T0037	C011	60.625	0.5328
T0003,T0015	C035	43.081	0.3136
T0002,T0020	C026	48.077	0.376
T0011,T0024	C034	59.43	0.1606
T0013,T0027	C039	73.209	0.8052
T0004,T0019	C012	39.089	0.123
T0014,T0023	C030	55.273	0.1266
T0006,T0022	C002	61.983	0.2204
T0000,T0021	C038	74.221	0.1777
T0015	C020	12.378	0.8086
T0001,T0002	C001	44.73	0.4827
T0003,T0014	C025	67.879	0.0717
T0021,T0031	C017	98.345	0.5101
T0017,T0038	C026	56.673	0.1634
T0009,T0035	C037	43.33	0.504
T0022,T0023	C023	75.673	0.0341
T0002	C014	26.29	0.4851
T0038	C019	39.617	0.7433
T0020	C006	23.561	0.9211
T0003,T0032	C009	81.877	0.4176
T0014,T0024	C004	52.682	0.4776
T0007,T0008	C025	40.718	0.2485
T0013,T0024	C019	49.182	0.2618
T0025,T0036	C035	89.776	0.0789
T0000,T0035	C035	64.242	0.1565
T0025,T0031	C020	85.986	0.2296
T0006,T0022	C023	100.0	0.2208
T0008,T0022	C000	80.069	0.1004
T0010,T0026	C000	46.494	0.5768
T0004,T0036	C027	42.42	0.01
T0004,T0029	C002	68.589	0.4235
T0034,T0035	C012	26.882	0.4264
T0005,T0025	C024	63.045	0.0568
T0009,T0011	C036	85.197	0.1467
T0024,T0037	C015	53.448	0.263
T0025	C020	44.954	0.2812
T0020	C021	29.985	0.2206
T0016,T0019	C026	38.264	0.5748
T0017,T0024	C007	27.067	0.257
T0006,T0013	C034	76.838	0.5702
T0001,T0014	C016	63.52	0.4387
T0007,T0015	C000	58.346	0.1809
T0015,T0028	C018	78.088	0.3787
T0009,T0031	C012	61.414	0.1571
T0022,T0032	C024	53.186	0.0281
T0014,T0025	C037	69.13	0.6787
T0029,T0036	C009	60.533	0.5378
T0011,T0033	C013	100.0	0.13
T0019,T0029	C038	42.635	0.1434
T0001,T0010	C006	61.523	0.3642
T0003,T0006	C013	53.089	0.2534
T0014,T0028	C026	68.304	0.2662
T0021,T0038	C033	65.507	0.2581
T0023,T0029	C024	70.947	0.4684
T0017,T0030	C028	50.624	0.3821
T0010	C017	18.454	0.9008
T0009,T0037	C033	77.453	0.01
T0011,T0031	C005	37.111	0.2162
T0027,T0034	C036	84.088	0.2795
T0004,T0020	C036	52.879	0.2039
T0025,T0029	C009	46.536	0.3508
T0019,T0033	C003	66.456	0.2483
T0010,T0039	C003	60.237	0.291
T0004	C005	29.516	0.6714
T0000,T0013	C004	46.118	0.7895
T0020,T0023	C036	40.66	0.3831
T0004,T0011	C023	84.145	0.2085
T0003,T0023	C025	85.419	0.1124
T0008,T0035	C007	93.048	0.2271
T0001,T0028	C020	60.678	0.1939
T0022,T0032	C005	50.159	0.6592
T0014,T0027	C038	40.736	0.6059
T0008	C008	32.366	0.245
T0028,T0033	C038	66.126	0.1529
T0011,T0023	C010	57.281	0.3893
T0018,T0025	C037	65.135	0.3545
T0008,T0017	C020	47.198	0.7191
T0002,T0017	C021	74.29	0.4361
T0018,T0027	C038	34.098	0.1208
T0012,T0018	C011	61.895	0.1685
T0016,T0021	C014	44.703	0.5362
T0004,T0023	C024	55.481	0.7398
T0005,T0019	C039	75.188	0.0845
T0009,T0032	C000	77.311	0.2316
T0024,T0039	C013	32.708	0.1777
T0000,T0011	C021	59.105	0.1544
T0008,T0031	C014	55.417	0.2992
T0000,T0016	C036	55.844	0.1683
T0004,T0018	C037	36.118	0.147
T0017,T0038	C030	50.994	0.4552
T0026,T0027	C016	40.288	0.1446
T0009,T0011	C023	91.425	0.3837
T0013,T0039	C039	60.026	0.2173
T0006,T0008	C001	39.573	0.1614
T0019,T0037	C032	80.985	0.1979
T0008,T0032	C030	38.417	0.5398
T0001,T0016	C031	50.05	0.3625
T0005,T0018	C011	49.348	0.043
T0003,T0005	C003	36.605	0.2754
T0010,T0011	C011	84.579	0.0545
T0001,T0013	C010	31.105	0.3417
T0030,T0036	C003	61.503	0.2617
T0013,T0028	C006	55.135	0.2438
T0017,T0018	C027	55.432	0.3746
T0023,T0033	C031	30.024	0.2328
T0022,T0033	C008	67.455	0.3269
T0012,T0020	C027	59.39	0.1386
T0008,T0024	C027	34.923	0.3082
T0009,T0026	C018	59.814	0.2665
T0030,T0039	C008	46.311	0.0424
T0012,T0017	C036	75.462	0.2899
T0013,T0032	C032	74.609	0.0616
T0020,T0023	C035	84.422	0.1696
T0020,T0026	C028	28.224	0.2207
T0003,T0004	C013	54.151	0.17
T0004,T0021	C037	63.495	0.1168
T0004,T0025	C028	49.467	0.3458
T0017,T0021	C018	41.172	0.1022
T0021,T0033	C012	76.795	0.3571
T0007,T0012	C028	60.876	0.4945
T0008,T0019	C037	86.327	0.6448
T0020,T0026	C012	84.245	0.1005
T0014,T0039	C033	77.627	0.0782
T0006,T0013	C026	37.677	0.0329
T0008,T0012	C018	98.704	0.2323
T0016,T0038	C026	39.403	0.3386
T0016,T0031	C028	98.795	0.1817
T0011,T0027	C023	85.055	0.5492
T0001,T0003	C005	58.98	0.4135
T0024,T0025	C011	58.51	0.0802
T0014,T0037	C038	31.355	0.454
T0003,T0009	C010	40.917	0.5117
T0023,T0027	C007	26.364	0.1193
T0032,T0039	C029	52.377	0.0716
T0022,T0035	C031	91.347	0.3032
T0016	C036	31.171	0.2335
T0016,T0036	C039	67.335	0.5295
T0004,T0027	C014	46.444	0.2779
T0028,T0039	C030	35.48	0.0238
T0023,T0028	C001	26.208	0.1132
T0014,T0018	C025	28.774	0.013
T0014,T0020	C039	63.409	0.1522
T0018,T0019	C035	78.528	0.1796
T0027,T0032	C013	43.208	0.0857
T0005,T0033	C002	68.664	0.1538
T0026,T0035	C000	42.437	0.6473
T0020,T0033	C001	62.29	0.2397
T0004,T0022	C038	37.908	0.0613
T0006,T0020	C003	56.92	0.2214
T0001,T0002	C005	71.844	0.3437
T0010,T0012	C038	100.0	0.0733
T0026,T0028	C036	52.923	0.252
T0008	C026	41.21	0.1716
T0000,T0017	C026	54.945	0.1538
T0011,T0031	C013	72.251	0.0235
T0010,T0023	C031	37.116	0.1088
T0019,T0022	C017	41.957	0.0937
T0009,T0010	C010	47.104	0.597
T0002,T0039	C036	47.424	0.3404
T0000,T0028	C026	93.85	0.3146
T0003,T0012	C023	61.211	0.1672
T0004,T0007	C031	40.311	0.1938
T0005,T0007	C028	67.462	0.2683
T0021,T0031	C039	56.858	0.0132
T0022	C012	31.86	0.8051
T0003,T0026	C022	48.052	0.0348
T0038	C022	11.782	0.2783
T0001,T0031	C029	48.531	0.1632
T0001,T0007	C032	54.617	0.0129
T0000	C003	20.195	0.9255
T0007,T0008	C008	74.39	0.2156
T0002,T0017	C037	46.663	0.3319
T0000,T0011	C009	40.955	0.7786
T0004,T0014	C013	59.216	0.1145
T0000,T0032	C001	81.89	0.4789
T0008,T0028	C036	68.519	0.0758
T0013,T0018	C020	65.728	0.2808
T0005,T0019	C037	63.34	0.3162
T0015,T0031	C017	74.889	0.4547
T0020,T0038	C019	91.675	0.5473
T0021,T0036	C028	89.965	0.3111
T0000,T0017	C002	52.142	0.3295
T0027,T0031	C030	57.305	0.6262
T0013,T0014	C013	54.875	0.0629
T0006,T0010	C019	91.094	0.3184
T0006,T0015	C033	37.204	0.0488
T0024	C023	15.05	0.9017
T0020,T0034	C024	95.323	0.8653
T0016,T0036	C002	54.129	0.1541
T0000,T0028	C009	47.905	0.1985
T0011,T0025	C008	49.013	0.5396
T0029,T0035	C020	61.385	0.1067
T0003	C037	47.586	0.4255
T0011,T0035	C022	25.062	0.0733
T0019,T0037	C009	33.588	0.2628
T0005,T0008	C011	64.261	0.2365
T0017,T0023	C035	78.61	0.6115
T0000,T0001	C009	26.805	0.7232
T0004,T0038	C035	40.43	0.0553
T0003,T0036	C010	69.892	0.3308
T0008,T0020	C009	30.518	0.5798
T0019,T0034	C001	54.905	0.3044
T0010,T0023	C039	49.439	0.3434
T0014,T0031	C003	66.281	0.2828
T0000,T0026	C004	30.147	0.2591
T0022,T0028	C010	56.58	0.421
T0030,T0034	C024	52.143	0.6926
T0000,T0027	C007	67.717	0.3557
T0032	C018	44.646	0.533
T0002,T0024	C004	46.136	0.1202
T0024	C027	27.868	0.8919
T0024,T0036	C016	27.839	0.1001
T0011,T0027	C020	43.557	0.6391
T0030	C028	15.259	0.8493
T0011,T0036	C016	42.969	0.0298
T0000,T0009	C001	44.546	0.2724
T0023	C015	17.186	0.3877
T0003,T0020	C014	77.887	0.8216
T0004,T0008	C016	40.35	0.0527
T0012,T0021	C006	52.897	0.0245
T0021,T0032	C007	33.102	0.0707
T0029,T0034	C001	82.206	0.4285
T0020,T0031	C007	45.702	0.4919
T0027,T0033	C002	77.651	0.1556
T0001,T0018	C013	72.53	0.5373
T0018,T0022	C029	55.608	0.1111
T0014,T0020	C008	67.572	0.079
T0031	C007	28.346	0.8615
T0028,T0038	C032	38.49	0.2915
T0000,T0033	C012	57.018	0.4078
T0025,T0032	C032	53.474	0.0266
T0012,T0026	C016	28.778	0.0302
T0009,T0028	C033	66.044	0.1307
T0030,T0035	C027	69.092	0.0541
T0004,T0021	C015	61.267	0.0869
T0015,T0036	C034	52.069	0.1418
T0008,T0016	C014	55.454	0.3792
T0032,T0035	C036	45.927	0.3843
T0003,T0030	C026	90.928	0.048
T0010,T0037	C021	83.682	0.0836
T0005,T0017	C017	58.769	0.1021
T0020,T0033	C028	28.975	0.0875
T0008,T0011	C030	71.764	0.4243
T0001,T0005	C008	83.233	0.3374
T0013,T0016	C015	76.78	0.3188
T0002,T0021	C015	61.225	0.555
T0010,T0028	C022	40.816	0.16
T0002,T0029	C013	81.139	0.0351
T0006,T0035	C004	55.368	0.4472
T0010,T0036	C018	53.826	0.0681
T0031,T0034	C001	62.094	0.234
T0000,T0038	C011	29.074	0.4505
T0025,T0038	C038	88.7	0.1959
T0026,T0029	C010	43.189	0.2689
T0003,T0021	C014	53.308	0.7816
T0017,T0034	C003	65.162	0.1281
T0000,T0029	C032	67.558	0.1298
T0003,T0011	C024	70.007	0.1972
T0011,T0037	C028	46.72	0.665
T0002,T0015	C018	46.046	0.1322
T0002,T0033	C008	73.841	0.4689
T0012,T0027	C019	36.773	0.4937
T0003,T0018	C032	66.043	0.14
T0006,T0026	C002	41.965	0.3711
T0014,T0025	C018	41.832	0.1336
T0027,T0038	C025	51.819	0.2015
T0032	C035	46.581	0.7654
T0034,T0037	C006	41.203	0.0993
T0001,T0028	C016	55.887	0.8577
T0014,T0034	C011	59.615	0.5692
T0022,T0034	C017	44.79	0.0175
T0004,T0007	C022	44.594	0.3754
T0014,T0029	C039	40.722	0.5091
T0006,T0032	C027	71.089	0.0599
T0000,T0027	C030	32.992	0.2568
T0016,T0017	C011	65.71	0.3687
T0007,T0035	C030	99.364	0.2298
T0002,T0032	C004	43.113	0.0877
T0006	C010	17.642	0.7403
T0006,T0037	C039	58.011	0.2113
T0010,T0036	C027	21.267	0.15
T0011,T0016	C002	52.602	0.201
T0011,T0032	C006	63.034	0.2526
T0013,T0028	C004	42.213	0.3797
T0006,T0013	C032	64.735	0.1104
T0006,T0017	C013	65.039	0.1758
T0016,T0037	C021	56.354	0.6284
T0003,T0032	C000	68.334	0.1199
T0008,T0033	C022	43.884	0.2785
T0002,T0023	C030	87.534	0.011
T0007,T0028	C008	73.198	0.781
T0020,T0030	C036	35.827	0.0695
T0018,T0029	C017	75.691	0.1305
T0017,T0018	C006	74.346	0.01
T0005,T0007	C006	60.909	0.0224
T0014,T0031	C019	77.211	0.0589
T0001,T0034	C001	49.846	0.2473
T0006,T0025	C023	62.978	0.1227
T0020,T0024	C025	50.957	0.0519
T0033	C016	31.909	0.8022
T0035	C031	46.225	0.9056
T0029,T0032	C006	55.681	0.8905
T0018,T0034	C035	59.362	0.2996
T0018,T0026	C008	40.349	0.2776
T0003,T0028	C033	37.174	0.1631
T0013,T0014	C006	73.686	0.2596
T0019,T0028	C008	36.384	0.5281
T0012,T0031	C017	89.055	0.7918
T0025,T0027	C001	67.351	0.1162
T0033,T0035	C030	72.512	0.6442
T0006,T0009	C005	49.011	0.1591
T0009,T0021	C029	45.053	0.2645
T0031,T0036	C035	98.906	0.1455
T0018,T0037	C016	93.185	0.5067
T0001,T0032	C019	68.695	0.2179
T0023,T0032	C030	39.289	0.3452
T0001,T0035	C004	60.416	0.5074
T0027,T0038	C023	76.444	0.3391
T0022,T0030	C017	77.722	0.0572
T0004,T0013	C039	62.398	0.5685
T0012,T0024	C014	60.581	0.4247
T0008,T0014	C013	34.835	0.01
T0000,T0016	C011	60.09	0.2884
T0007,T0037	C011	64.931	0.3876
T0010,T0033	C024	51.432	0.2399
T0007,T0010	C001	54.458	0.6563
T0013,T0027	C018	46.747	0.2193
T0012,T0033	C023	49.802	0.4998
T0020,T0028	C035	77.433	0.1068
T0007,T0028	C025	37.431	0.1369
T0018,T0027	C036	67.449	0.2741
T0017,T0027	C018	39.525	0.2382
T0010	C002	12.704	0.2514
T0002,T0005	C023	44.488	0.719
T0012,T0015	C031	69.979	0.2934
T0003,T0031	C026	96.141	0.1344
T0020,T0028	C034	24.104	0.1254
T0017,T0035	C006	69.778	0.0707
T0021,T0031	C024	57.935	0.2844
T0025,T0026	C031	49.562	0.1897
T0021,T0032	C011	60.713	0.1957
T0020,T0032	C020	52.013	0.106
T0002,T0021	C005	79.236	0.437
T0005,T0009	C031	54.576	0.327
T0022,T0036	C037	55.748	0.1808
T0003,T0021	C001	37.976	0.303
T0006,T0030	C000	33.918	0.0587
T0011,T0032	C030	43.278	0.6485
T0012,T0039	C021	86.379	0.108
T0000,T0021	C022	76.598	0.1468
T0031,T0032	C037	97.107	0.1258
T0011,T0031	C002	61.008	0.348
T0008	C013	17.727	0.1285
T0008,T0032	C003	63.67	0.5139
T0005	C004	42.826	0.338
T0001,T0018	C038	44.573	0.069
T0006,T0020	C024	100.0	0.3249
T0006,T0014	C022	41.809	0.2303
T0000,T0020	C031	59.102	0.0298
T0006,T0029	C018	80.216	0.0874
T0000,T0029	C025	44.162	0.3502
T0010,T0034	C011	80.368	0.3485
T0009,T0026	C001	34.423	0.306
T0004,T0024	C016	37.045	0.1104
