task_id_list	courier_id	score	willingness
T0027	C049	36.963960	0.368354
T0026	C028	15.407800	0.205157
T0027	C009	26.039100	0.080009
T0016	C038	36.843420	0.225537
T0020	C032	15.438140	0.109823
T0008	C056	35.445320	0.392174
T0023	C024	28.731980	0.410000
T0015	C050	13.450460	0.052488
T0004	C039	23.884140	0.323684
T0001	C007	8.707580	0.267235
T0005	C050	26.481080	0.301584
T0025	C024	37.565840	0.218917
T0006	C012	35.844660	0.137292
T0009	C013	36.116900	0.427305
T0022	C013	34.262880	0.105080
T0018	C051	34.712240	0.411616
T0016	C003	9.635820	0.358346
T0026	C038	22.262180	0.398377
T0016	C021	25.567600	0.465772
T0000	C016	13.544760	0.468795
T0023	C043	12.528780	0.346827
T0011	C034	34.304700	0.120404
T0022	C001	34.777020	0.382948
T0029	C027	13.666120	0.171902
T0014	C005	23.463480	0.271718
T0007	C007	20.544280	0.441639
T0001	C026	10.228680	0.106644
T0009	C000	35.339540	0.185350
T0026	C058	33.041080	0.082146
T0020	C036	12.866620	0.226683
T0018	C047	11.432440	0.094082
T0005	C044	26.825480	0.096845
T0009	C033	30.910720	0.067082
T0009	C002	35.906160	0.104663
T0006	C021	20.554940	0.073858
T0024	C041	17.533240	0.460925
T0009	C006	9.120040	0.187330
T0029	C051	16.903480	0.130203
T0000	C057	17.798100	0.323684
T0003	C008	13.561160	0.464730
T0012	C026	8.948660	0.318003
T0006	C040	8.970800	0.195566
T0020	C000	38.390760	0.087463
T0016	C056	39.199280	0.425898
T0013	C033	20.521320	0.097157
T0012	C039	17.143740	0.465042
T0003	C005	22.618060	0.284853
T0012	C036	31.128840	0.189937
T0028	C040	38.514580	0.372889
T0023	C044	32.601560	0.343648
T0000	C000	21.278180	0.406300
T0010	C052	13.421760	0.112013
T0013	C011	28.512220	0.102787
T0005	C001	23.778360	0.202133
T0000	C013	33.461740	0.059889
T0006	C007	18.818180	0.467127
T0007	C014	40.937680	0.455347
T0012	C014	39.122200	0.382531
T0019	C001	25.857060	0.335725
T0000	C021	17.613600	0.459257
T0007	C051	27.216620	0.092883
T0024	C032	33.998020	0.295382
T0022	C011	14.828060	0.442942
T0016	C019	30.936140	0.347296
T0001	C056	28.772160	0.451542
T0021	C009	31.235440	0.440075
T0028	C019	15.106040	0.059733
T0016	C042	31.810260	0.235440
T0027	C032	18.192520	0.301584
T0027	C031	24.346620	0.124418
T0021	C008	18.526260	0.119935
T0019	C003	16.953500	0.257175
T0002	C032	32.012800	0.473434
T0029	C029	30.144840	0.492772
T0011	C029	29.074740	0.134790
T0004	C014	25.905440	0.342970
T0003	C024	33.155880	0.304920
T0004	C045	12.026120	0.478959
T0012	C040	18.727980	0.279119
T0021	C058	38.303840	0.060098
T0021	C022	32.761460	0.280527
T0027	C034	34.574480	0.436427
T0015	C006	11.830960	0.417350
T0013	C036	39.054140	0.320557
T0024	C033	27.665160	0.490426
T0024	C021	22.430280	0.274220
T0007	C045	18.852620	0.083136
T0023	C020	27.239580	0.279432
T0022	C019	18.881320	0.473643
T0003	C027	11.048680	0.383313
T0020	C017	21.388060	0.442108
T0010	C019	37.720820	0.221419
T0028	C002	35.988160	0.407081
T0009	C058	34.479360	0.484849
T0019	C014	30.306380	0.406717
T0019	C012	11.980200	0.436375
T0001	C043	22.689400	0.329157
T0009	C023	34.403920	0.261502
T0028	C036	29.032920	0.174404
T0026	C057	13.197080	0.158454
T0008	C037	38.453080	0.489905
T0018	C029	29.119840	0.337028
T0021	C016	28.114520	0.354802
T0008	C046	27.332240	0.467127
T0002	C057	11.492300	0.335829
T0009	C024	11.188080	0.128588
T0007	C005	25.046080	0.321600
T0027	C030	12.291800	0.478959
T0029	C050	8.446820	0.356366
T0001	C019	40.590000	0.193116
T0005	C059	20.642680	0.306275
T0012	C041	27.515920	0.222461
T0020	C057	32.317020	0.190145
T0011	C054	32.151380	0.339582
T0017	C030	26.880420	0.321287
T0012	C029	13.200360	0.130256
T0004	C027	28.621280	0.079123
T0004	C026	11.680900	0.377319
T0002	C028	16.044120	0.167993
T0006	C042	13.676780	0.290065
T0017	C028	22.104740	0.215425
T0005	C051	17.912900	0.301011
T0011	C001	8.391880	0.339790
T0010	C018	11.074920	0.078706
T0029	C012	15.998200	0.106435
T0003	C052	16.777200	0.387066
T0012	C027	15.498820	0.133956
T0012	C000	14.300800	0.097783
T0006	C011	25.875100	0.192386
T0022	C043	18.968240	0.259677
T0001	C038	15.976880	0.151991
T0029	C010	11.533300	0.397022
T0014	C022	16.954320	0.157672
T0002	C059	32.760640	0.287928
T0012	C018	32.003780	0.156109
T0009	C057	23.388860	0.165230
T0012	C008	21.610280	0.238932
T0004	C019	19.862860	0.438876
T0025	C040	40.421900	0.492355
T0011	C033	17.926840	0.347870
T0019	C052	18.058860	0.165178
T0019	C053	15.810420	0.295225
T0005	C024	19.354460	0.065988
T0013	C057	32.093980	0.146414
T0021	C023	40.034040	0.482608
T0004	C010	19.356920	0.128223
T0023	C035	25.795560	0.420946
T0017	C048	19.083040	0.195462
T0005	C057	14.077760	0.074588
T0005	C035	14.994520	0.209795
T0012	C015	19.594720	0.462280
T0029	C000	9.147920	0.188425
T0013	C028	16.245020	0.469421
T0006	C038	34.725360	0.494700
T0000	C043	35.761840	0.348651
T0014	C042	16.862480	0.303461
T0006	C015	23.351960	0.442473
T0024	C009	21.123200	0.422353
T0022	C051	26.246560	0.419018
T0008	C042	32.595820	0.289387
T0009	C008	20.235960	0.205417
T0016	C010	12.179460	0.060046
T0003	C058	15.442240	0.171954
T0011	C053	33.935700	0.076569
T0014	C038	17.558660	0.460872
T0022	C055	16.159740	0.392904
T0001	C022	17.346280	0.122281
T0026	C026	27.369960	0.477083
T0009	C034	23.486440	0.493866
T0025	C051	12.141740	0.124991
T0024	C012	8.246740	0.214070
T0000	C059	19.456140	0.400566
T0003	C049	40.835180	0.359441
T0015	C005	36.011940	0.307891
T0009	C021	19.603740	0.139377
T0015	C036	33.442060	0.116130
T0022	C053	8.267240	0.329366
T0028	C020	18.186780	0.437313
T0023	C050	38.991820	0.094239
T0017	C043	9.393100	0.350632
T0014	C040	23.318340	0.297414
T0024	C036	40.366140	0.144642
T0021	C018	22.826340	0.157203
T0012	C049	20.995280	0.055720
T0019	C022	20.049820	0.087619
T0025	C036	20.705000	0.104924
T0026	C032	17.620160	0.391340
T0000	C038	18.785380	0.123323
T0003	C009	30.730320	0.437573
T0027	C029	10.280340	0.255038
T0010	C041	11.466880	0.151365
T0012	C020	13.684980	0.249618
T0010	C036	10.172920	0.239662
T0028	C043	14.288500	0.058482
T0028	C039	17.944880	0.103569
T0024	C022	39.992220	0.470724
T0024	C039	27.852120	0.420633
T0019	C006	30.367880	0.382792
T0024	C037	18.059680	0.484432
T0022	C059	23.474140	0.356522
T0004	C003	27.951340	0.175342
T0018	C050	12.212260	0.102370
T0023	C051	37.225540	0.300073
T0000	C031	23.385580	0.099711
T0005	C015	32.412140	0.279171
T0017	C004	20.137560	0.305181
T0001	C053	8.560800	0.310654
T0029	C046	32.527760	0.095490
T0020	C026	21.764440	0.390506
T0015	C049	8.939640	0.359441
T0025	C004	8.502580	0.064893
T0014	C011	21.524180	0.298092
T0011	C004	13.639880	0.088818
T0022	C039	8.787940	0.131715
T0009	C059	26.636880	0.054104
T0019	C011	11.417680	0.075422
T0006	C018	33.808600	0.136771
T0027	C053	13.375020	0.157464
T0024	C005	8.236900	0.279328
T0018	C055	9.337340	0.184099
T0014	C033	28.119440	0.274845
T0029	C048	26.069440	0.243675
T0002	C029	34.827040	0.233772
T0009	C025	31.447000	0.360014
T0024	C052	22.545080	0.442212
T0007	C047	30.470380	0.189207
T0009	C036	32.565480	0.158819
T0026	C015	30.723760	0.334839
T0019	C037	27.579060	0.345628
T0028	C050	34.018520	0.295799
T0008	C025	20.912460	0.281413
T0010	C037	14.425440	0.481513
T0011	C023	37.495320	0.402338
T0029	C034	22.799280	0.427618
T0002	C006	23.087920	0.462019
T0029	C039	11.916240	0.358086
T0006	C034	24.991960	0.372576
T0024	C046	33.411720	0.384564
T0010	C004	38.085720	0.138856
T0015	C053	23.184680	0.294026
T0001	C011	13.826020	0.144485
T0026	C004	12.472200	0.135624
T0000	C006	26.332660	0.473330
T0021	C025	15.278240	0.169035
T0014	C049	24.066180	0.377580
T0015	C027	10.038440	0.201664
T0000	C002	15.941620	0.348234
T0013	C035	12.259000	0.463218
T0014	C007	23.651260	0.216363
T0000	C015	17.509460	0.479480
T0019	C007	9.038040	0.407081
T0017	C051	38.086540	0.288136
T0007	C021	29.428980	0.481878
T0009	C042	29.729100	0.482556
T0018	C010	34.467060	0.060880
T0014	C043	25.349480	0.441378
T0014	C044	17.922740	0.061453
T0000	C029	36.581020	0.481617
T0026	C054	15.166720	0.407238
T0024	C044	40.545720	0.124105
T0021	C020	8.517340	0.102109
T0026	C023	17.701340	0.327854
T0008	C044	22.748440	0.175290
T0023	C053	29.448660	0.253527
T0029	C038	14.486940	0.082511
T0014	C032	40.846660	0.163771
T0023	C005	29.433900	0.259312
T0018	C043	10.639500	0.076725
T0019	C054	39.985660	0.412346
T0020	C018	16.012140	0.455087
T0028	C004	23.221580	0.207085
T0022	C052	15.047820	0.279276
T0029	C013	27.575780	0.061036
T0025	C049	25.614340	0.376381
T0028	C022	27.159220	0.383470
T0026	C043	24.850920	0.313051
T0015	C013	17.128980	0.192438
T0016	C049	16.031000	0.392904
T0000	C045	9.105280	0.235753
T0004	C031	16.359820	0.122594
T0028	C014	11.356180	0.322746
T0022	C046	19.301160	0.361057
T0003	C029	28.276880	0.200674
T0001	C035	29.722540	0.335777
T0006	C028	30.651600	0.295173
T0019	C026	22.149840	0.361891
T0008	C006	29.545420	0.468482
T0009	C032	11.609560	0.113628
T0011	C000	22.031760	0.460977
T0013	C037	21.973540	0.486882
T0014	C002	24.208860	0.068073
T0001	C024	24.559000	0.456494
T0029	C056	12.842020	0.195253
T0022	C031	35.853680	0.162363
T0001	C046	34.965620	0.065936
T0020	C045	40.423540	0.458110
T0023	C031	10.934700	0.105862
T0002	C000	22.426180	0.442421
T0000	C044	10.132740	0.409218
T0021	C049	14.155660	0.490113
T0007	C019	35.194400	0.305024
T0021	C010	32.470360	0.252589
T0012	C053	24.600820	0.156578
T0025	C029	22.481120	0.117329
T0009	C012	33.064040	0.240600
T0013	C010	9.632540	0.370387
T0008	C059	40.502260	0.460872
T0008	C021	16.053140	0.461706
T0004	C049	30.049720	0.169087
T0028	C046	9.835900	0.411668
T0021	C044	30.386740	0.303513
T0017	C023	30.790180	0.306275
T0021	C021	14.307360	0.282768
T0025	C014	39.467420	0.131090
T0022	C049	19.342160	0.130881
T0017	C026	25.457720	0.280943
T0003	C003	19.843180	0.283602
T0014	C053	23.278160	0.125304
T0003	C028	12.355760	0.345576
T0007	C013	25.617620	0.277712
T0008	C027	9.773580	0.170860
T0018	C057	39.166480	0.298248
T0013	C013	33.602780	0.138178
T0004	C048	16.710780	0.337497
T0007	C016	19.529120	0.216936
T0001	C003	29.674160	0.421936
T0012	C017	32.671260	0.469577
T0028	C033	17.798920	0.423500
T0017	C022	27.975940	0.276096
T0007	C017	34.810640	0.102839
T0025	C025	9.715360	0.276982
T0017	C036	26.820560	0.395197
T0010	C051	8.919960	0.284801
T0019	C008	9.346360	0.341980
T0012	C003	35.606860	0.347765
T0027	C054	25.615980	0.145736
T0005	C055	10.621460	0.439554
T0018	C015	24.130140	0.372837
T0020	C055	10.717400	0.360692
T0001	C042	27.381440	0.091580
T0019	C009	23.544660	0.188321
T0014	C050	13.802240	0.197025
T0021	C036	22.354020	0.204218
T0000	C042	36.556420	0.340312
T0021	C017	39.731460	0.314667
T0009	C046	27.671720	0.316961
T0008	C017	32.038220	0.129161
T0020	C027	28.731980	0.224338
T0023	C058	36.444080	0.442264
T0017	C013	25.886580	0.244509
T0028	C059	9.875260	0.437782
T0027	C043	27.357660	0.077872
T0027	C004	27.627440	0.307109
T0024	C031	9.554640	0.440180
T0020	C041	31.648720	0.331920
T0025	C032	23.197800	0.123688
T0022	C021	23.060860	0.439137
T0022	C017	17.427460	0.062235
T0008	C018	40.597380	0.374713
T0014	C029	16.153180	0.430016
T0008	C047	14.436920	0.316856
T0013	C000	22.370420	0.484901
T0010	C012	33.260840	0.332650
T0026	C045	21.688180	0.079905
T0024	C059	9.180720	0.237786
T0020	C012	24.026000	0.185662
T0029	C031	35.724940	0.129630
T0017	C009	9.434100	0.250816
T0023	C016	22.805020	0.121134
T0015	C040	13.463580	0.332024
T0022	C048	33.759400	0.258374
T0013	C002	37.362480	0.068229
T0009	C049	11.384880	0.282455
T0016	C032	20.960020	0.173101
T0029	C020	27.169880	0.082511
T0008	C058	31.772540	0.330304
T0010	C015	12.572240	0.191344
T0015	C057	29.014880	0.078914
T0013	C003	25.274040	0.183942
T0002	C044	12.809220	0.086889
T0006	C001	26.007120	0.079905
T0024	C045	27.278940	0.351362
T0011	C010	13.729260	0.270571
T0012	C046	22.177720	0.464104
T0006	C054	17.449600	0.263691
T0026	C034	17.946520	0.448050
T0003	C040	8.588680	0.068646
T0002	C043	13.394700	0.121968
T0021	C015	25.926760	0.347505
T0012	C042	27.458520	0.369396
T0008	C052	23.616820	0.310341
T0003	C007	33.868460	0.057544
T0017	C001	31.251840	0.057388
T0001	C029	25.743080	0.132966
T0021	C000	19.840720	0.114514
T0015	C045	21.386420	0.053374
T0008	C035	26.831220	0.313677
T0009	C004	28.920580	0.213548
T0006	C023	35.050900	0.210890
T0022	C056	23.221580	0.124574
T0007	C040	22.789440	0.464521
T0023	C049	22.285140	0.066040
T0003	C036	34.371120	0.479376
T0025	C054	40.836820	0.409635
T0009	C039	25.215000	0.165439
T0013	C026	18.757500	0.053374
T0013	C017	31.638060	0.446382
T0000	C047	38.007820	0.278233
T0012	C032	18.906740	0.180294
T0014	C009	20.387660	0.371533
T0001	C040	27.924280	0.119049
T0007	C028	20.791100	0.453210
T0008	C010	25.770140	0.359285
T0006	C008	10.845320	0.326082
T0018	C009	40.130800	0.124991
T0017	C056	27.642200	0.180867
T0025	C037	40.742520	0.396709
T0005	C026	9.668620	0.129474
T0010	C035	10.293460	0.358711
T0023	C045	11.990040	0.378726
T0019	C031	13.577560	0.307005
T0022	C020	25.529880	0.184620
T0003	C034	13.800600	0.070470
T0004	C054	28.258020	0.125982
T0025	C026	26.647540	0.325769
T0000	C001	24.381880	0.255507
T0020	C024	36.121820	0.473486
T0021	C040	15.784180	0.128327
T0006	C056	31.001740	0.185193
T0019	C042	32.886100	0.355480
T0006	C032	16.616480	0.351466
T0005	C046	24.222800	0.058951
T0026	C024	39.045940	0.199840
T0019	C000	24.335960	0.460977
T0023	C036	15.583280	0.457797
T0010	C027	8.552600	0.255716
T0001	C032	37.762640	0.074275
T0002	C020	25.661900	0.376172
T0024	C034	9.507080	0.264733
T0016	C035	28.142400	0.188738
T0013	C029	35.932400	0.153190
T0005	C021	29.661860	0.352404
T0010	C053	30.522040	0.244249
T0027	C023	34.230080	0.404006
T0024	C043	29.116560	0.466189
T0018	C021	35.977500	0.426628
T0002	C002	25.551200	0.323320
T0007	C027	32.238300	0.124105
T0007	C041	13.281540	0.180294
T0004	C056	37.802000	0.244614
T0029	C018	21.040380	0.115401
T0020	C042	10.762500	0.114150
T0014	C056	20.335180	0.267496
T0029	C008	19.333960	0.408697
T0006	C024	37.173060	0.214017
T0005	C007	19.098620	0.390923
T0020	C019	35.666720	0.351205
T0028	C038	12.680480	0.359597
T0027	C052	27.921000	0.305806
T0023	C025	40.103740	0.079123
T0023	C006	13.948200	0.195462
T0005	C013	28.764780	0.194836
T0009	C009	32.684380	0.318837
T0015	C039	11.621860	0.125356
T0003	C030	20.128540	0.328063
T0014	C014	20.052280	0.481513
T0014	C025	18.650080	0.078393
T0000	C024	11.741580	0.476509
T0028	C009	26.626220	0.113107
T0002	C018	8.226240	0.099399
T0003	C020	21.078100	0.414796
T0012	C054	39.350160	0.191292
T0018	C028	24.285940	0.440753
T0017	C053	15.110960	0.453315
T0028	C047	22.660700	0.388578
T0001	C015	11.580860	0.411251
T0007	C020	36.280900	0.231791
T0026	C000	20.804220	0.463062
T0015	C032	30.475300	0.365174
T0027	C018	16.290120	0.459726
T0000	C007	35.892220	0.189467
T0028	C054	28.544200	0.175186
T0012	C044	16.312260	0.210942
T0028	C053	40.812220	0.056397
T0023	C046	11.097880	0.335047
T0008	C009	19.128140	0.320974
T0009	C037	29.322380	0.352456
T0026	C042	37.236200	0.415421
T0029	C040	31.270700	0.111387
T0003	C018	34.299780	0.090798
T0010	C000	19.909600	0.318785
T0015	C038	12.428740	0.244562
T0022	C050	24.140800	0.209118
T0003	C025	34.022620	0.420790
T0028	C024	21.902200	0.089704
T0014	C008	38.514580	0.355844
T0007	C015	23.890700	0.292671
T0001	C009	9.890840	0.485370
T0007	C046	29.798800	0.114984
T0002	C023	16.773920	0.467440
T0026	C059	39.688820	0.413440
T0005	C039	31.623300	0.278911
T0027	C000	22.252340	0.293088
T0028	C027	35.197680	0.135416
T0020	C029	14.910060	0.245343
T0008	C048	40.619520	0.143026
T0018	C024	39.054960	0.474841
T0014	C010	25.297820	0.391601
T0017	C002	28.478600	0.280162
T0017	C015	17.017460	0.358503
T0014	C017	12.172900	0.277712
T0026	C010	18.862460	0.170130
T0007	C057	21.541400	0.264160
T0000	C027	37.833160	0.189363
T0003	C010	22.714000	0.300125
T0016	C045	25.752100	0.356053
T0004	C006	35.700340	0.094343
T0001	C030	10.071240	0.378049
T0021	C051	22.153120	0.201195
T0005	C002	24.129320	0.334005
T0003	C042	14.768200	0.331816
T0025	C015	17.685760	0.310862
T0013	C014	21.999780	0.185662
T0016	C014	21.087120	0.296580
T0011	C057	37.811840	0.245969
T0011	C045	17.768580	0.453106
T0016	C043	13.961320	0.428817
T0003	C038	8.580480	0.311383
T0008	C040	19.629160	0.173309
T0017	C021	27.479020	0.368145
T0003	C056	40.071760	0.463166
T0028	C023	35.096820	0.399471
T0015	C003	8.803520	0.232678
T0016	C000	8.241000	0.464104
T0018	C058	31.624940	0.183004
T0023	C001	11.635800	0.150532
T0024	C040	16.160560	0.219178
T0002	C024	29.406840	0.091320
T0013	C006	36.598240	0.149698
T0006	C003	18.797680	0.236430
T0020	C049	13.968700	0.180971
T0023	C003	20.711560	0.432987
T0017	C037	29.860300	0.274584
T0027	C005	9.723560	0.331816
T0025	C044	39.459220	0.286521
T0026	C014	29.319100	0.168253
T0002	C012	26.216220	0.390819
T0006	C039	19.502880	0.131559
T0022	C002	31.688900	0.267287
T0005	C012	34.621220	0.129578
T0028	C003	25.416720	0.169192
T0009	C003	21.347060	0.454566
T0014	C041	39.296860	0.377215
T0003	C035	10.116340	0.398273
T0013	C041	33.733980	0.114671
T0017	C054	10.342660	0.077090
T0016	C059	25.227300	0.473851
T0011	C011	38.348940	0.098148
T0008	C050	23.911200	0.173309
T0021	C055	39.067260	0.433299
T0015	C004	11.096240	0.333692
T0004	C050	29.647100	0.292567
T0029	C026	9.563660	0.216363
T0013	C018	17.604580	0.109980
T0013	C058	19.306900	0.252015
T0019	C010	21.551240	0.172580
T0017	C058	40.049620	0.436583
T0023	C004	20.639400	0.104455
T0008	C038	14.631260	0.340781
T0027	C033	24.891100	0.452012
T0004	C058	40.886840	0.187800
T0010	C025	27.545440	0.349329
T0029	C052	28.054660	0.233981
T0016	C052	11.981020	0.415525
T0010	C042	40.912260	0.356209
T0015	C052	20.636940	0.463426
T0009	C047	38.385840	0.429182
T0022	C018	17.415160	0.284853
T0023	C011	32.830340	0.429234
T0019	C055	35.264920	0.378309
T0001	C037	24.727100	0.144642
T0004	C002	11.832600	0.358190
T0006	C057	33.049280	0.466033
T0019	C025	14.781320	0.148082
T0001	C020	36.765520	0.139012
T0023	C028	29.570840	0.100024
