task_id_list	courier_id	total_score	willingness
T0011,T0016	C002	52.602	0.201
T0013,T0028	C004	42.213	0.3797
T0006,T0013	C032	64.735	0.1104
T0004,T0026	C051	49.356	0.4715
T0006,T0017	C013	65.039	0.1758
T0012,T0023	C058	87.139	0.2752
T0004,T0008	C048	74.168	0.1573
T0002,T0023	C030	87.534	0.011
T0007,T0028	C008	73.198	0.781
T0018,T0029	C017	75.691	0.1305
T0017,T0018	C006	74.346	0.01
T0005,T0007	C006	60.909	0.0224
T0021,T0027	C048	100.0	0.5662
T0006,T0016	C047	44.377	0.5003
T0006,T0025	C023	62.978	0.1227
T0020,T0024	C025	50.957	0.0519
T0018,T0026	C008	40.349	0.2776
T0003,T0028	C033	37.174	0.1631
T0013,T0014	C006	73.686	0.2596
T0019,T0028	C008	36.384	0.5281
T0025,T0027	C001	67.351	0.1162
T0006,T0009	C005	49.011	0.1591
T0009,T0021	C029	45.053	0.2645
T0007,T0023	C043	68.024	0.0507
T0010,T0020	C058	67.736	0.4349
T0006	C044	24.952	0.7073
T0010,T0012	C054	75.206	0.0525
T0004,T0013	C039	62.398	0.5685
T0012,T0024	C014	60.581	0.4247
T0008,T0014	C013	34.835	0.01
T0000,T0016	C011	60.09	0.2884
T0010	C044	47.874	0.3985
T0007,T0010	C001	54.458	0.6563
T0017,T0029	C053	42.019	0.5499
T0005,T0025	C054	62.205	0.592
T0013,T0027	C018	46.747	0.2193
T0013	C052	49.265	0.3805
T0020,T0028	C035	77.433	0.1068
T0007,T0028	C025	37.431	0.1369
T0018,T0027	C036	67.449	0.2741
T0017,T0027	C018	39.525	0.2382
T0010	C002	12.704	0.2514
T0002,T0005	C023	44.488	0.719
T0011,T0016	C051	88.619	0.1105
T0012,T0015	C031	69.979	0.2934
T0009,T0026	C046	48.592	0.3415
T0020,T0028	C034	24.104	0.1254
T0025,T0026	C031	49.562	0.1897
T0002,T0021	C005	79.236	0.437
T0005,T0009	C031	54.576	0.327
T0003,T0021	C001	37.976	0.303
T0020,T0022	C056	85.563	0.1216
T0000,T0021	C022	76.598	0.1468
T0008,T0022	C048	76.645	0.1657
T0001,T0022	C051	51.705	0.4699
T0008	C013	17.727	0.1285
T0005	C004	42.826	0.338
T0003,T0008	C051	42.591	0.137
T0001,T0018	C038	44.573	0.069
T0024	C057	21.194	0.7599
T0006,T0020	C024	100.0	0.3249
T0006,T0014	C022	41.809	0.2303
T0000,T0020	C031	59.102	0.0298
T0006,T0029	C018	80.216	0.0874
T0000,T0029	C025	44.162	0.3502
T0012,T0025	C055	84.327	0.6727
T0009,T0026	C001	34.423	0.306
T0004,T0024	C016	37.045	0.1104
T0025,T0026	C020	63.545	0.2398
T0012,T0029	C018	57.977	0.0872
T0014,T0022	C059	68.823	0.2219
T0025,T0029	C021	58.3	0.1993
T0000,T0005	C058	65.053	0.2054
T0025,T0028	C046	38.709	0.3093
T0008,T0012	C017	65.037	0.2089
T0014,T0023	C042	49.846	0.0641
T0006,T0017	C029	50.314	0.1344
T0012,T0013	C030	54.142	0.3162
T0006,T0011	C016	44.659	0.0204
T0016,T0021	C058	82.062	0.0461
T0004,T0005	C040	68.601	0.2384
T0004,T0009	C051	76.631	0.3335
T0017,T0027	C029	36.886	0.3182
T0004,T0006	C005	45.673	0.479
T0003,T0009	C044	66.025	0.1041
T0003,T0006	C031	57.435	0.5441
T0000,T0018	C021	70.391	0.7175
T0012,T0021	C047	59.2	0.0634
T0018,T0019	C045	31.048	0.4317
T0006,T0025	C059	51.971	0.2626
T0010,T0022	C039	32.619	0.0898
T0001,T0021	C050	76.001	0.1883
T0014,T0020	C020	42.168	0.0886
T0010,T0024	C017	51.84	0.8117
T0002,T0029	C007	54.896	0.0797
T0016,T0028	C017	76.489	0.1727
T0004,T0013	C029	91.365	0.2761
T0013,T0024	C015	74.389	0.2777
T0002,T0011	C039	82.694	0.5894
T0020,T0024	C057	64.182	0.2352
T0019,T0026	C035	51.959	0.522
T0024,T0026	C045	53.232	0.1072
T0000,T0003	C000	85.728	0.1811
T0025,T0028	C032	52.978	0.1739
T0014,T0027	C014	40.366	0.3655
T0000,T0016	C017	58.829	0.0195
T0029	C047	16.262	0.1747
T0008,T0029	C001	70.79	0.7529
T0008,T0019	C008	37.728	0.1352
T0019,T0028	C045	72.658	0.4531
T0013,T0027	C021	30.223	0.2665
T0026	C056	30.137	0.4785
T0007,T0017	C058	74.546	0.193
T0007,T0016	C023	40.283	0.09
T0008,T0022	C039	68.38	0.2729
T0020	C007	25.986	0.5832
T0002,T0005	C039	93.168	0.4992
T0007,T0013	C059	56.631	0.7431
T0013,T0022	C022	39.033	0.1144
T0000,T0017	C048	57.736	0.1345
T0019,T0028	C057	68.813	0.5857
T0008,T0018	C046	66.841	0.5018
T0005,T0016	C034	72.129	0.648
T0004,T0021	C005	77.909	0.5966
T0010,T0016	C026	38.041	0.5233
T0006,T0008	C048	77.615	0.1796
T0010,T0011	C046	31.866	0.2735
T0006,T0010	C035	54.589	0.5558
T0017,T0022	C028	57.736	0.3141
T0026	C031	37.95	0.4276
T0014,T0018	C032	69.905	0.1723
T0013,T0019	C001	60.722	0.1748
T0020,T0029	C006	52.414	0.8311
T0002,T0014	C052	56.734	0.4495
T0019,T0024	C002	46.233	0.1758
T0014,T0020	C028	32.421	0.3471
T0006,T0010	C031	73.49	0.4805
T0001,T0025	C050	71.617	0.0775
T0008,T0024	C040	51.906	0.1879
T0001,T0021	C047	49.163	0.072
T0013,T0014	C023	40.702	0.156
T0010,T0028	C054	47.267	0.0943
T0005,T0027	C022	68.368	0.0398
T0004,T0018	C011	50.058	0.0669
T0016,T0023	C050	65.701	0.0463
T0019,T0027	C008	27.144	0.3305
T0002,T0027	C058	48.03	0.1313
T0000,T0017	C034	62.769	0.317
T0006,T0020	C019	72.267	0.4298
T0012,T0021	C026	44.342	0.3645
T0018,T0027	C056	58.7	0.3392
T0021,T0026	C047	53.618	0.0651
T0021,T0025	C041	57.081	0.0219
T0018,T0020	C041	65.333	0.0497
T0011,T0017	C044	71.14	0.1957
T0011,T0014	C002	46.411	0.0952
T0022,T0025	C001	79.133	0.269
T0017,T0022	C056	54.624	0.0764
T0001,T0002	C034	49.353	0.4046
T0005,T0026	C058	86.103	0.0295
T0003	C051	16.753	0.8682
